RA Dec redshift phot_index luminosity nh_values
247.43060632307 39.605942078015 3.2251 2.53023 2.3892295702157278e+45 23.24176
181.1103275171 1.7428398027011 1.2756 2.34734 6.620523778680307e+44 21.02239
181.24384880899 2.0174495946461 2.2254 1.55893 9.34061582219158e+44 20.99649
180.93912863228 1.9266522553701 0.5758 2.619 1.6793547580735514e+43 21.91629
181.05254604009 1.7066803656163 0.7258 2.32938 9.985409337205632e+43 21.54602
181.10292269068 1.6935616006045 1.0257 1.93252 3.696819167742178e+44 23.11124
181.15141673441 2.0844207042391 0.43252 1.84695 3.665068631966007e+43 21.82918
180.94100627455 1.7854315344434 1.21358 2.26362 1.1427712278855455e+45 20.48131
65.153108881534 2.3945413455913 0.39653 1.48978 9.97669762092356e+43 21.52639
220.8688032634 6.4712681372148 1.39903 1.70144 8.664183531074143e+44 21.55561
262.89850850871 22.882250254704 1.1257 1.92311 5.43041505989387e+44 21.18804
80.44087167558 -25.318246070952 1.22971 2.44827 9.501018276583565e+44 21.10273
213.85975382672 23.183059057092 0.6258 1.92513 1.9053715867892667e+44 20.21222
129.88568418033 20.105340392869 2.91596 4.09791 7.221752523760469e+58 22.70621
129.78686883365 19.948930749889 0.34662 1.92414 2.483357305068539e+43 24.063
129.74893681553 20.005757237284 0.27793 0.1832 1.345500072251292e+43 21.37217
8.5690327710621 -2.3505117857986 2.29323 1.98626 1.3133472921393141e+46 20.74562
322.28844447286 -7.7588574961091 1.70397 1.90594 2.049010482509524e+45 21.41694
137.84261919761 38.863312726903 1.2256 1.9438 4.16123347205509e+44 21.26244
24.355095656331 -8.2348073847707 1.1756 2.14194 6.250484773011932e+44 20.52489
36.676073903071 20.416361478357 0.3759 1.80179 6.98491515203549e+44 20.25248
24.334657954601 -8.6413086368788 1.6255 2.31063 8.758816096674609e+44 21.15033
12.43152275475 -24.735097865731 2.0253 2.16569 6.655373526996359e+44 20.4251
12.295837844769 -24.516341694785 1.4255 1.45352 7.786872991657861e+44 20.62831
12.132582483381 -24.632553869314 1.6755 1.72046 3.690306355250904e+44 20.51248
177.18540532735 22.385915547897 1.3256 3.5793 3.097331908632418e+44 22.00166
163.4199344629 24.230374257153 1.3256 2.54432 2.0079724351273852e+45 21.33017
163.36861436147 24.110362205082 0.77018 2.03198 4.049675954414756e+44 21.06076
227.31262144068 57.855540103379 1.8755 1.61788 3.751856358129623e+44 20.83386
347.95341337716 3.6306012765331 1.5756 1.76787 2.0434210720083426e+45 21.38464
274.66889727985 57.243367790681 1.27771 3.08099 9.168498152007145e+44 21.06411
274.71191861501 57.208340740307 0.34794 2.23742 1.0556084286693355e+44 20.28661
265.20329883618 65.472671331889 0.5259 2.03566 1.550863981186005e+43 20.79763
246.41114655482 39.486060299087 2.38802 2.18477 1.3639565921961472e+45 20.41658
246.6505818001 38.87600983676 0.42353 1.61763 1.9916213237067357e+44 21.55407
204.74623148498 15.487719863876 1.2257 1.48958 8.40523327732602e+44 20.67795
204.91081969496 15.101569945962 1.1757 1.93722 8.11474971406597e+44 20.9915
205.02444358579 15.383172404998 0.6258 2.36916 4.1839808167985255e+43 21.02173
204.85106656982 15.293221889887 0.6258 1.87718 2.0819950117978033e+43 20.39365
30.854516355732 -7.1133185294361 0.09367 2.8616 1.563796606928762e+42 21.11289
31.557899083201 -6.4812355232123 0.2759 2.76096 7.465805357681239e+43 20.60978
31.671646530299 -6.4806711382539 0.5758 1.89033 1.0907932683108365e+44 20.46094
31.521818800763 -6.5509275923117 0.8257 2.32517 4.491900043838753e+44 20.19964
31.091596526834 -6.0255579262854 0.7757 2.58395 3.8413077332293874e+44 21.06447
33.379950092504 -6.1580909257301 1.2756 2.22047 1.4251230017810803e+45 20.7449
30.696452165206 -5.5997736797327 2.79102 2.37839 3.0118969159467514e+45 20.61125
30.528772625737 -5.9833079838554 1.85374 1.82243 2.0544617915051494e+45 20.34627
33.08788168539 -5.9775598825407 0.98825 2.21861 4.4309341304579695e+44 20.52097
30.520051988736 -5.5460131078885 0.2759 1.40215 1.4306278104005695e+42 20.61573
32.670973285404 -4.8503821752116 2.51573 0.0 1.5536614203796425e+45 0.0
33.462096460729 -4.1387729596177 0.3759 1.77882 1.1983153843727342e+44 21.57827
38.53809499577 -5.0583554690651 1.1757 2.76753 1.7624837815233973e+44 20.64613
38.516296141184 -5.0699554100862 2.16943 2.65259 1.3915506188671487e+45 21.394
37.523565303048 -5.1371531867001 0.9757 2.01559 3.1133306500728228e+44 20.85133
37.282300246479 -5.1814534713119 0.63109 2.42923 1.6093319676440934e+44 20.42004
37.250073759063 -4.6315739781764 0.3259 3.23225 6.3995739716966e+42 22.32526
87.192487037425 -21.837552455591 2.2754 1.843 3.700863603900174e+45 21.3047
69.661346674093 -22.139896973634 0.7258 1.79304 5.586320812415993e+44 21.20035
191.32479871793 -11.997757958694 0.70708 1.93427 4.014523400288837e+44 20.4718
191.36263055426 -12.084441649272 0.3259 3.3848 1.1999442345092017e+43 20.91823
8.785356587101 -2.0015279837347 0.9257 2.41725 2.4024512751678125e+44 20.73303
8.787482131865 -2.2096825796248 1.7255 2.76987 4.068094646698265e+44 20.32784
