RA Dec redshift phot_index luminosity nh_values flag
36.790680655678 0.46189716492549 2.38802 1.93562 1.3639565921961472e+45 20.92308 0
36.843323289138 0.61084510654967 0.16372 1.58225 3.588415234625248e+42 20.41822 0
36.551762153396 0.56728654259946 0.42353 2.2865 1.9916213237067357e+44 20.31644 0
36.775937139349 0.65879030165685 1.0257 1.69628 4.050402731919297e+44 20.48891 1
258.28987095487 60.024271616094 0.8758 2.36402 4.1577469794102946e+44 20.61795 1
258.71008149717 60.235807373821 1.2257 2.05946 8.40523327732602e+44 20.81141 1
258.14489736341 60.091729380192 1.1757 1.74178 8.11474971406597e+44 20.73616 1
169.05475796219 44.277926813257 0.6258 2.66151 4.1839808167985255e+43 20.45793 1
126.31958385821 26.401649704083 0.2259 2.15028 1.9926301414597408e+43 20.65298 1
194.85374552755 31.471256906689 0.5758 2.09305 1.0907932683108365e+44 20.43925 1
260.79306878036 59.851554602382 0.98825 2.60993 4.4309341304579695e+44 20.72525 0
187.5196390678 12.031336657704 0.9757 2.21998 3.1133306500728228e+44 20.83089 1
188.10288741762 12.214452630963 2.2754 2.45221 3.700863603900174e+45 20.47138 1
188.25092613811 12.172461413984 0.7258 1.81297 5.586320812415993e+44 20.24816 1
187.88733965974 12.182129874269 0.70708 2.55345 4.014523400288837e+44 20.35765 1
102.10346368381 70.078099484158 0.3259 2.26306 1.1999442345092017e+43 20.37089 1
101.92814902803 70.094749238582 0.9257 1.91538 2.4024512751678125e+44 21.03176 1
116.07756881275 39.384463026288 2.1254 4.2239 9.639088215840806e+43 23.00764 1
158.45162622184 39.540138539257 1.2756 2.25555 2.14383990110096e+44 20.53847 1
158.5956632685 39.610360028764 2.09469 1.80215 3.008512824734234e+45 20.65435 0
220.59245214262 -0.72452057941621 1.6255 2.50633 8.727812502400153e+44 20.44527 1
220.76534550699 -0.74366809230648 0.5758 2.36381 8.259665299747972e+43 20.25592 1
220.81821329913 -0.56675693648997 1.1257 2.14035 6.238828178664251e+44 20.70926 1
220.74474894558 -0.56904327082533 1.2756 2.0411 1.0460497734237613e+45 20.27567 1
220.70856135823 -0.71381440961555 1.2756 2.06355 8.488331846890517e+44 20.40283 1
220.78389636168 -0.82052279368351 1.37261 1.94271 2.328580468134075e+45 20.4677 1
113.78714784919 26.857188805082 0.98936 1.85548 8.616690759807324e+44 20.47172 0
204.02000539503 -30.142178891785 2.7751 1.64861 1.111043732893058e+46 21.51852 1
179.02842636075 23.518552179027 1.59038 2.07588 2.9104195848638936e+45 20.18653 0
194.60094404576 47.599658492269 0.85756 2.08522 2.6356834268746783e+44 20.67114 1
194.45776092325 47.666919111639 0.86291 2.69744 3.7163014810020155e+43 20.49164 1
194.22560414592 47.680690520617 0.46619 2.51707 1.2497401765369854e+43 22.05247 1
194.13153244991 47.534365307571 0.4259 1.9984 2.0377645074830107e+43 20.44524 1
194.18161496 47.743809914343 3.17306 1.77714 2.823313511475728e+45 20.96669 1
194.13092815263 47.724314463514 0.6258 0.99733 1.7768455733201104e+44 22.48205 1
155.54780135834 22.101426544331 0.7758 1.36872 1.7038314903423223e+44 21.06342 1
35.230054159994 -6.0267037908029 1.2338 1.91897 9.379263567422825e+44 20.53848 0
35.174425895904 -6.1112019438753 0.9757 1.76768 3.850571988841119e+44 20.94592 1
35.081722151015 -6.1250135085409 0.5758 2.17871 1.9420591314323818e+44 20.20297 1
35.2100364893 -6.2968227402375 1.9255 1.91201 6.339871185737928e+45 20.73618 1
35.103844659677 -6.2921212509712 0.176 2.59072 1.1947703929495297e+44 20.18832 1
246.82557895948 49.919945764143 0.90352 1.76901 2.6370842005468892e+45 20.23922 0
197.94972074021 23.50735861849 1.2756 2.45055 3.860844850968921e+44 20.61837 1
158.00420392369 65.043469125425 0.5758 2.0121 1.02047518661869e+44 20.10945 1
67.882742736649 -5.2510319222008 0.3259 2.40074 1.5090410828468975e+43 20.43924 1
68.001391427003 -5.2062269075153 0.9757 2.28118 2.2251805091762332e+44 20.9669 1
211.14789451395 25.919608260722 0.7258 1.69766 4.650245410820115e+43 20.55735 1
